date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/10/2021,kevinlegend,TRUE,,,TRUE,,
5/10/2021,Deity,TRUE,TRUE,,TRUE,,afternoon raid
5/10/2021,Matrix,TRUE,,TRUE,TRUE,TRUE,
5/10/2021,salathyne,TRUE,,TRUE,TRUE,,
5/10/2021,North Star,TRUE,,,TRUE,,
5/10/2021,Rich,TRUE,,,TRUE,,
5/10/2021,Ivory,TRUE,,TRUE,TRUE,,
5/10/2021,Connwaer,TRUE,,,TRUE,,
5/10/2021,Rokugan,TRUE,,TRUE,TRUE,,
5/10/2021,Timelaps,TRUE,,,TRUE,,
5/10/2021,L84RCALL,TRUE,,TRUE,TRUE,,
5/10/2021,Chrysa,TRUE,,,TRUE,,
5/10/2021,Robert1307,,,,,,
5/10/2021,sxmcs,TRUE,,,TRUE,,
5/10/2021,Zalyx,TRUE,,,TRUE,,
5/10/2021,Gandolf,TRUE,TRUE,,,,afternoon and evening raids
5/10/2021,crazydwerg,,,TRUE,,,
5/10/2021,ZenReaper,TRUE,,TRUE,TRUE,,
5/10/2021,SwordLogic,TRUE,,TRUE,,,
5/10/2021,Dragaton9,TRUE,,,TRUE,,
5/10/2021,da hoff,,,TRUE,,,
5/10/2021,Kaen,,,,TRUE,,
5/10/2021,Azule,TRUE,,,TRUE,,
5/10/2021,Ye Xiu,,,TRUE,,,
5/10/2021,Ric,TRUE,,,TRUE,,
5/10/2021,Cloud,TRUE,TRUE,,,,summons; claimed SS right after war
5/10/2021,Cloud,,,,,,
5/10/2021,zebar,,,,,,
5/10/2021,Cat,TRUE,,,TRUE,,
5/10/2021,Ceadus,TRUE,,,TRUE,,
5/10/2021,Aria,TRUE,,,TRUE,,
5/10/2021,Tkm,,,,,,
5/10/2021,Gabriel,,,,,,
5/10/2021,Theodin,TRUE,,TRUE,TRUE,,
5/10/2021,Dorn,,,,TRUE,,
5/10/2021,Yea5h2,,,TRUE,,,
5/10/2021,Josh,,,,,,
5/10/2021,Doug,TRUE,,,TRUE,,
5/10/2021,Satanael,,,,TRUE,,
5/10/2021,Medix,,,,,,
5/10/2021,Kira,,,TRUE,,,
5/10/2021,john,,,,,,
5/10/2021,Manchurian,,,TRUE,TRUE,,
5/10/2021,Suprize,,,,,TRUE,"poked Lastima, didn't see D anywhere?"
5/10/2021,Arturo,,TRUE,TRUE,,,summon; added D to Ceva
5/10/2021,Andrés,,,,TRUE,,
5/10/2021,Dead,TRUE,,,TRUE,,
5/10/2021,bumbm92,TRUE,,TRUE,TRUE,,
5/10/2021,Livedlime,TRUE,,,TRUE,,
5/10/2021,John,TRUE,,TRUE,,,placed some in Ceva